fold,test_seasons,method,edge_threshold,n_candidates,n_bets,total_staked,total_profit,roi,roi_ci_lo,roi_ci_hi,roi_significant_positive,roi_significant_negative,mean_clv,clv_ci_lo,clv_ci_hi,clv_significant_positive,clv_significant_negative
0,2021-2021,GamePredictor,0.01,2332,2096,2096.0,-23.929060000396706,-0.011416536259731254,-0.061841565843513024,0.036883625073996715,False,False,0.008788345100113278,0.006926221182290452,0.010546061241611037,True,False
0,2021-2021,GamePredictor,0.02,2332,1854,1854.0,-9.76848381551381,-0.005268869371906046,-0.05525037312966713,0.04927510104149154,False,False,0.009499493595173424,0.007548141893140402,0.011554333194962022,True,False
0,2021-2021,GamePredictor,0.03,2332,1612,1612.0,-7.7794216704673556,-0.004825943964309774,-0.06227102778337703,0.051253868801525916,False,False,0.010764408955203046,0.008562694151599198,0.012830572341664804,True,False
0,2021-2021,GamePredictor,0.05,2332,1218,1218.0,19.419535585176938,0.0159437894787988,-0.05404714339653492,0.0806543888380646,False,False,0.013458616817617388,0.01093829721222445,0.016007507422345912,True,False
0,2021-2021,GamePredictor,0.08,2332,680,680.0,53.80072853865853,0.07911871843920372,-0.014577173241244966,0.17273880467349956,False,False,0.019922947480913538,0.01608463009907805,0.024465275487028898,True,False
0,2021-2021,Logistic regression (ERA/wRC+ proxy),0.01,2332,2143,2143.0,-26.962368675767255,-0.012581599942028584,-0.05662620211959446,0.03431289800740579,False,False,0.005652760614416549,0.003957698490635587,0.007404457863638388,True,False
0,2021-2021,Logistic regression (ERA/wRC+ proxy),0.02,2332,1975,1975.0,-8.937366276378253,-0.004525248747533292,-0.05511554173724759,0.04581748009353379,False,False,0.0059506794190521,0.004008012778696526,0.007754843793169979,True,False
0,2021-2021,Logistic regression (ERA/wRC+ proxy),0.03,2332,1775,1775.0,-14.223033232322809,-0.008012976468914258,-0.0637541423380956,0.04506658254868446,False,False,0.006182941326512188,0.004284315448554481,0.008386088411842862,True,False
0,2021-2021,Logistic regression (ERA/wRC+ proxy),0.05,2332,1403,1403.0,-36.57820617761837,-0.026071422792315304,-0.0869781554060382,0.037328246607796454,False,False,0.007026986555021035,0.004760045850686725,0.009288896595052835,True,False
0,2021-2021,Logistic regression (ERA/wRC+ proxy),0.08,2332,920,920.0,-19.407530250858585,-0.0210951415770202,-0.09302567690020798,0.06499614844990306,False,False,0.009640286331721981,0.0063730086059421535,0.013182042547231824,True,False
0,2021-2021,Ensemble (stacked logistic regression),0.01,2332,2114,2114.0,-27.504374712280274,-0.013010584064465598,-0.0607660290335164,0.03578376702797428,False,False,0.006651717093412069,0.004887536632565177,0.008408753911746355,True,False
0,2021-2021,Ensemble (stacked logistic regression),0.02,2332,1931,1931.0,-53.174684747821765,-0.027537382054801534,-0.07953786080643357,0.025047946649548253,False,False,0.0072962637679982335,0.005485835300727555,0.00924138022128447,True,False
0,2021-2021,Ensemble (stacked logistic regression),0.03,2332,1740,1740.0,-40.55594160503615,-0.023308012416687444,-0.07860210689386364,0.03699822990991542,False,False,0.007941866064021806,0.005886606282636401,0.010222678987926464,True,False
0,2021-2021,Ensemble (stacked logistic regression),0.05,2332,1355,1355.0,5.8473806021249,0.004315410038468561,-0.06236670221360668,0.07139731373382187,False,False,0.009850346837619898,0.007311302163359022,0.012392249339487828,True,False
0,2021-2021,Ensemble (stacked logistic regression),0.08,2332,812,812.0,3.9884701536995006,0.004911909056280173,-0.08125552766331004,0.09404997217459933,False,False,0.01236355775426759,0.008898040488059778,0.016031680269645514,True,False
1,2022-2022,GamePredictor,0.01,2312,2090,2090.0,-10.337400630326798,-0.004946124703505645,-0.04659163230380598,0.043906614280660346,False,False,0.004970504440764318,0.003679703253834016,0.006194927952781748,True,False
1,2022-2022,GamePredictor,0.02,2312,1839,1839.0,-12.78031846397991,-0.006949602209885758,-0.05830910477055283,0.04479705169147344,False,False,0.005426900858414831,0.004271880181843569,0.0066450751470879124,True,False
1,2022-2022,GamePredictor,0.03,2312,1603,1603.0,13.990618574788733,0.008727772036674195,-0.044204376006134714,0.06311489913583743,False,False,0.005895603816780976,0.004575732118243207,0.007269758358522847,True,False
1,2022-2022,GamePredictor,0.05,2312,1163,1163.0,-18.49712200587385,-0.015904662085876056,-0.0804137798209208,0.053163877735334986,False,False,0.00689224238038657,0.005336612030034799,0.008361922051942229,True,False
1,2022-2022,GamePredictor,0.08,2312,689,689.0,-2.535622080951013,-0.0036801481581291914,-0.083522155624066,0.08840216517014456,False,False,0.00838646684117479,0.006107236656881019,0.0104366398268027,True,False
1,2022-2022,Logistic regression (ERA/wRC+ proxy),0.01,2312,2101,2101.0,-27.986211721730104,-0.013320424427287056,-0.06350297712436795,0.03602390958272394,False,False,0.001833808639941223,0.000604465993384465,0.003058387198046615,True,False
1,2022-2022,Logistic regression (ERA/wRC+ proxy),0.02,2312,1884,1884.0,-47.02642028210327,-0.024960944948037828,-0.07980855535888438,0.024231764765008743,False,False,0.0021133099946201712,0.0008788530191931295,0.0034275670670604326,True,False
1,2022-2022,Logistic regression (ERA/wRC+ proxy),0.03,2312,1688,1688.0,-42.94950431499697,-0.02544401914395555,-0.08948042307803161,0.03200346896915715,False,False,0.00209048993745029,0.0007329459210609008,0.0034907985619926263,True,False
1,2022-2022,Logistic regression (ERA/wRC+ proxy),0.05,2312,1317,1317.0,-46.47320875246422,-0.03528717445137754,-0.10317621120735662,0.032894442045263726,False,False,0.002380920311390269,0.0008974784534276915,0.0038925929474129197,True,False
1,2022-2022,Logistic regression (ERA/wRC+ proxy),0.08,2312,862,862.0,-19.936172402956178,-0.023127810212246146,-0.10835188519714439,0.06165919647022878,False,False,0.0030185990421720673,0.0012874131494154777,0.004862104802043328,True,False
