fold,test_seasons,comparison,accuracy_diff_mean,accuracy_diff_ci_lo,accuracy_diff_ci_hi,accuracy_significant_for_gamepredictor,accuracy_significant_for_baseline,brier_diff_mean,brier_diff_ci_lo,brier_diff_ci_hi,brier_significant_for_gamepredictor,brier_significant_for_baseline
0,2021-2021,GamePredictor_vs_LR,0.0165174371451743,-0.0060928629359286,0.0393450932684509,False,False,-0.0046501858420891,-0.0074783789980933,-0.0015310035106354,True,False
1,2022-2022,GamePredictor_vs_LR,0.017380971659919,-0.0056781376518218,0.0412955465587044,False,False,-0.0030614276417612,-0.0063844258899692,0.0004473485499233,False,False
2,2023-2023,GamePredictor_vs_LR,0.0120016187778227,-0.0113415621205989,0.0352084176446783,False,False,-0.0018901674145989,-0.0049072511744978,0.0010617444337545,False,False
3,2024-2024,GamePredictor_vs_LR,-0.009273462783171519,-0.03843042071197411,0.02023665048543695,False,False,0.002043152658299112,-0.00021059603580378042,0.004413819699729915,False,False
4,2025-2025,GamePredictor_vs_LR,-0.01038352846184901,-0.029874848607186144,0.010102947113443665,False,False,-0.0002437748485189174,-0.0025319409789043372,0.00187742966490168,False,False
5,2026-2026,GamePredictor_vs_LR,0.005831288343558281,-0.029907975460122693,0.04217791411042937,False,False,-0.0015214552615104315,-0.005517880526294873,0.0024677886756067514,False,False
0,2021-2021,GamePredictor_vs_Vegas,-0.0326067753001715,-0.0510291595197255,-0.0132825900514579,False,True,0.004371488041166,0.0014907627135807,0.007114487927266,False,True
1,2022-2022,GamePredictor_vs_Vegas,-0.0306734429065743,-0.0497404844290657,-0.0108131487889273,False,True,0.0039328051515655,0.0008770896175869,0.0069976838265859,False,True
2,2023-2023,GamePredictor_vs_Vegas,-0.0315379454926624,-0.0519916142557651,-0.0125786163522012,False,True,0.0053682255054821,0.0027276825150906,0.0081677640850324,False,True
3,2024-2024,GamePredictor_vs_Vegas,-0.06001740571902196,-0.08495648570244507,-0.033568172399502716,False,True,0.009186172096538502,0.005379253654144758,0.012853208515020515,False,True
4,2025-2025,GamePredictor_vs_Vegas,-0.018591963545981773,-0.03935376967688475,0.0033243579121790255,False,False,0.0039599341552870974,0.0008606950502135885,0.006995528824894726,False,True
5,2026-2026,GamePredictor_vs_Vegas,-0.012333862014274386,-0.04125693893735138,0.019825535289452856,False,False,0.00031818547794014695,-0.0032580739583809434,0.004089813267667339,False,False
