fold,test_seasons,method,n_games,accuracy,brier_score
0,2021-2021,GamePredictor,2466,0.5587996755879967,0.2431766463313342
0,2021-2021,Logistic regression (ERA/wRC+ proxy),2466,0.5425790754257908,0.2478248672375995
0,2021-2021,Always predict home win,2466,0.5401459854014599,0.4598540145985401
0,2021-2021,Vegas closing line,2332,0.5939108061749572,0.2387771938496337
1,2022-2022,GamePredictor,2470,0.5704453441295546,0.2421955853938326
1,2022-2022,Logistic regression (ERA/wRC+ proxy),2470,0.5534412955465587,0.2453016755528946
1,2022-2022,Always predict home win,2470,0.5331983805668016,0.4668016194331983
1,2022-2022,Vegas closing line,2312,0.5977508650519031,0.2385741803995762
2,2023-2023,GamePredictor,2471,0.5398624038850668,0.2469237111779433
2,2023-2023,Logistic regression (ERA/wRC+ proxy),2471,0.5277215702144881,0.2488713004697648
2,2023-2023,Always predict home win,2471,0.5176042088223392,0.4823957911776608
2,2023-2023,Vegas closing line,2385,0.5719077568134172,0.2417052598416968
3,2024-2024,GamePredictor,2472,0.5206310679611651,0.24953258365606387
3,2024-2024,Logistic regression (ERA/wRC+ proxy),2472,0.5295307443365695,0.24750742000945017
3,2024-2024,Always predict home win,2472,0.5214401294498382,0.4785598705501618
3,2024-2024,Vegas closing line,2413,0.5777041027766266,0.2405709047173953
4,2025-2025,GamePredictor,2477,0.5450141299959629,0.2459450571786184
4,2025-2025,Logistic regression (ERA/wRC+ proxy),2477,0.5551069842551474,0.24619176662506062
4,2025-2025,Always predict home win,2477,0.542995559144126,0.45700444085587405
4,2025-2025,Vegas closing line,2414,0.5625517812758907,0.24198342528093977
5,2026-2026,GamePredictor,1304,0.5475460122699386,0.2471144916853125
5,2026-2026,Logistic regression (ERA/wRC+ proxy),1304,0.5406441717791411,0.24870951198769745
5,2026-2026,Always predict home win,1304,0.526840490797546,0.473159509202454
5,2026-2026,Vegas closing line,1261,0.5638382236320381,0.24616988766870115
